"build","computer.platform","date","time","subject","group","blockcode","blocknum","trialcode","trialnum","parameters.immediateAmount","parameters.delayedAmount","values.trialCount","values.choiceNo","values.index","values.indexAdjustment","values.delayChoice","response","latency","values.ED50","values.k"
"5.0.14.0","win","051121","10:18:04","145","740515121","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","722","0.04167","24"
"5.0.14.0","win","051121","10:18:26","142","248285519","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","28407","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:26","142","248285519","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","1160","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:26","142","248285519","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","877","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:26","142","248285519","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","827","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:26","142","248285519","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","517","0.04167","24"
"5.0.14.0","win","051121","10:18:55","126","665189049","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","34628","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:55","126","665189049","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","837","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:55","126","665189049","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","471","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:55","126","665189049","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","476","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:55","126","665189049","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","delayed","303","0.05893","17"
"5.0.14.0","win","051121","09:20:37","150","742347810","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","9989","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:20:37","150","742347810","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","now","2775","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:20:37","150","742347810","minuteDiscounting","1","choice","3","5","10","3","3","20","2","4 months","now","3636","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:20:37","150","742347810","minuteDiscounting","1","choice","4","5","10","4","4","18","1","2 months","now","1885","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","09:20:37","150","742347810","minuteDiscounting","1","choice","5","5","10","5","5","17","0.5","1 month","now","908","25.28","0.0396"
"5.0.14.0","win","051121","15:20:12","140","233933346","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","7976","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","15:20:12","140","233933346","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","delayed","1334","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","15:20:12","140","233933346","minuteDiscounting","1","choice","3","5","10","3","3","28","2","8 years","delayed","1968","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","15:20:12","140","233933346","minuteDiscounting","1","choice","4","5","10","4","4","30","1","18 years","delayed","1754","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","15:20:12","140","233933346","minuteDiscounting","1","choice","5","5","10","5","5","31","0.5","25 years","delayed","1509","9131","0.00011"
"5.0.14.0","win","051121","10:20:40","131","889420221","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","17907","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:20:40","131","889420221","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","2999","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:20:40","131","889420221","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","1312","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:20:40","131","889420221","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","1042","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:20:40","131","889420221","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","706","0.04167","24"
"5.0.14.0","win","051121","07:22:01","152","131549396","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","16447","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:22:01","152","131549396","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","962","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:22:01","152","131549396","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","1157","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:22:01","152","131549396","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","1001","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:22:01","152","131549396","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","769","0.04167","24"
"5.0.14.0","win","051121","10:22:14","148","56786654","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","2990","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:14","148","56786654","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","808","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:14","148","56786654","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","1080","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:14","148","56786654","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","550","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:14","148","56786654","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","958","0.04167","24"
"5.0.14.0","win","051121","10:22:36","147","382769186","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","9588","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:36","147","382769186","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","1003","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:36","147","382769186","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","6244","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:36","147","382769186","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","529","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:22:36","147","382769186","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","561","0.04167","24"
"5.0.14.0","win","050521","03:10:35","157","277070736","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","1199","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","03:10:35","157","277070736","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","delayed","12096","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","03:10:35","157","277070736","minuteDiscounting","1","choice","3","5","10","3","3","28","2","8 years","now","182","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","03:10:35","157","277070736","minuteDiscounting","1","choice","4","5","10","4","4","26","1","4 years","now","226","Not yet determined","Not yet determined"
"5.0.14.0","win","050521","03:10:35","157","277070736","minuteDiscounting","1","choice","5","5","10","5","5","25","0.5","3 years","now","123","894.7","0.00112"
"5.0.14.0","win","051121","10:25:15","156","628988970","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","2176","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:25:15","156","628988970","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","1160","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:25:15","156","628988970","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","469","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:25:15","156","628988970","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","2072","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:25:15","156","628988970","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","712","0.04167","24"
"5.0.14.0","win","051121","07:26:00","159","447879181","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","1102","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:26:00","159","447879181","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","800","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:26:00","159","447879181","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","682","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:26:00","159","447879181","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","2697","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","07:26:00","159","447879181","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","1091","0.04167","24"
"5.0.14.0","win","051121","10:27:16","162","952080308","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","delayed","20160","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:27:16","162","952080308","minuteDiscounting","1","choice","2","5","10","2","2","24","4","2 years","now","2968","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:27:16","162","952080308","minuteDiscounting","1","choice","3","5","10","3","3","20","2","4 months","now","2589","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:27:16","162","952080308","minuteDiscounting","1","choice","4","5","10","4","4","18","1","2 months","now","528","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:27:16","162","952080308","minuteDiscounting","1","choice","5","5","10","5","5","17","0.5","1 month","now","870","25.28","0.0396"
